,2.25,2.27
0,1.0,1.0
1,-0.069076923076922828,-0.43697435897435677
2,0.17536842105263226,0.2082105263157914
3,0.06827027027026987,-0.17264864864864804
4,0.031444444444444143,0.13955555555555396
5,0.046742857142857197,-0.14240000000000011
6,0.12500000000000025,0.0045294117647058912
7,0.084060606060606891,-0.017151515151515171
8,0.089249999999999996,-0.098937499999999998
9,0.013741935483870727,-0.0053548387096774156
10,0.033066666666666147,0.058533333333334055
11,0.060689655172414321,-0.053103448275862407
12,0.011714285714285433,0.077071428571428374
13,-0.062222222222222359,-0.094148148148148814
14,0.19069230769230727,0.17946153846153864
15,-0.15208000000000088,-0.11975999999999902
16,-0.098166666666666333,0.061416666666666321
17,0.1790434782608705,-0.20356521739130437
18,-0.019545454545454435,0.21109090909091063
19,-0.042380952380952248,-0.16695238095238146
20,-0.024400000000000296,0.20020000000000363
21,0.27578947368420953,-0.1792631578947376
22,-0.047444444444444782,0.047333333333333186
23,0.060823529411764603,-0.10176470588235262
24,0.19,0.19287499999999999
25,0.088666666666667199,-0.023066666666666638
26,0.10642857142857219,0.33900000000000186
27,0.16984615384615556,-0.12138461538461504
28,0.060666666666666508,-0.066999999999999713
29,0.015454545454545403,-0.053454545454545352
30,-0.09000000000000076,0.027200000000000009
31,0.058444444444444271,0.056444444444444249
32,-0.03175,0.18174999999999999
33,0.13571428571428668,-0.10285714285714354
34,0.20866666666666853,-0.12933333333333263
35,0.05199999999999988,0.18400000000000158
36,0.055500000000000001,0.0080000000000000002
37,-0.035999999999999963,-0.014666666666666661
38,0.028000000000000001,0.152
39,-0.88600000000000001,-1.0
