,2.0,2.2,2.4,2.6,2.8,3.0
0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.29473684210526296,-0.26315789473684226,-0.47747368421052566,-0.35621052631578776,-0.4736842105263151,-0.6808421052631575
2,0.1555555555555561,-0.060222222222222066,0.2164444444444438,0.16199999999999987,0.16666666666666646,0.2706666666666669
3,0.23764705882352868,0.10988235294117615,-0.05576470588235277,0.12141176470588197,-0.11764705882352905,-0.16400000000000023
4,0.197,-0.09925,-0.13025,-0.0635,0.125,0.04
5,0.01653333333333335,0.06799999999999984,0.06506666666666652,0.12799999999999964,-0.18560000000000051,0.01413333333333335
6,0.22828571428571504,-0.07142857142857142,-0.019428571428571434,-0.10257142857142829,0.055999999999999876,0.0
7,0.1449230769230766,0.07692307692307672,0.20584615384615446,0.19107692307692353,0.07692307692307672,-0.15384615384615344
8,0.18566666666666623,0.08866666666666649,-0.08799999999999984,-0.20300000000000004,0.0,0.24466666666666664
9,0.27636363636363637,-0.029090909090909077,0.166909090909091,0.31090909090909014,0.18181818181818177,-0.09927272727272715
10,0.32479999999999815,-0.10000000000000034,0.04959999999999989,-0.03999999999999993,-0.10000000000000034,0.29799999999999865
11,-0.031999999999999945,0.10977777777777746,0.06488888888888873,0.10355555555555532,0.3333333333333329,-0.21999999999999933
12,0.536,0.0,-0.111,0.0705,-0.125,0.125
13,-0.1485714285714287,0.14285714285714285,-0.015999999999999993,0.062285714285714215,0.2857142857142857,0.14285714285714285
14,0.6733333333333325,0.0,-0.18133333333333287,-0.4060000000000001,0.16666666666666646,-0.16666666666666646
15,0.7920000000000027,-0.20000000000000068,-0.18240000000000042,0.5903999999999973,0.0,-0.3752000000000011
16,0.075,0.5,0.26,-0.129,0.25,-0.25
17,0.6666666666666659,0.0,0.002666666666666666,0.5053333333333313,0.0,0.3333333333333329
18,-0.5,1.0,0.52,-0.5,-0.5,0.0
19,1.0,-1.0,-1.0,0.0,0.0,0.0
