,2.26
0,1.0
1,-0.092410256410256117
2,0.13900000000000148
3,-0.020216216216216266
4,-0.029833333333333493
5,0.051371428571428443
6,0.17229411764705749
7,0.091212121212121813
8,0.031
9,0.036580645161290296
10,0.038599999999999017
11,0.13993103448275968
12,-0.020428571428571411
13,0.041481481481481494
14,0.02523076923076871
15,-0.088399999999999493
16,0.094083333333333741
17,0.19791304347826319
18,0.090272727272727796
19,0.04133333333333325
20,0.030799999999999855
21,0.17831578947368523
22,0.036777777777777812
23,-0.07917647058823539
24,0.27887499999999998
25,0.11119999999999967
26,0.16571428571428579
27,0.16461538461538594
28,0.23633333333333309
29,0.018727272727272742
30,-0.19480000000000169
31,0.12488888888889048
32,0.01925
33,-0.074571428571428566
34,0.30133333333333318
35,0.18920000000000162
36,0.073999999999999996
37,0.098666666666666583
38,-0.42599999999999999
39,-0.85199999999999998
