,2.26
0,1.0
1,0.30082051282051531
2,0.28721052631578836
3,0.24978378378378341
4,0.23272222222222289
5,0.29994285714285801
6,0.29058823529412009
7,0.26575757575757725
8,0.23075000000000001
9,0.1521935483870967
10,0.27179999999999954
11,0.23337931034482673
12,0.32442857142857201
13,0.21985185185185183
14,0.23530769230769291
15,0.23984000000000066
16,0.24533333333333249
17,0.24513043478260971
18,0.30536363636363473
19,0.37352380952380954
20,0.35000000000000153
21,0.34242105263158118
22,0.26722222222222358
23,0.3165882352941195
24,0.32737500000000003
25,0.25960000000000083
26,0.1754285714285701
27,0.21199999999999827
28,0.39633333333333354
29,0.35054545454545633
30,0.19599999999999967
31,0.27711111111111236
32,0.29699999999999999
33,0.19971428571428754
34,0.24800000000000122
35,0.34439999999999937
36,0.1875
37,0.34199999999999892
38,0.067000000000000004
39,0.88200000000000001
