,2.0,2.2,2.4,2.6,2.8,3.0
0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.016111111111111128,-0.007222222222222224,-0.024999999999999994,-0.027777777777777773,-0.0033333333333333305,-0.012222222222222225
2,0.0,0.0275,-0.03375,-0.02125,0.01125,0.008125
3,0.04285714285714286,0.03571428571428572,-0.029999999999999985,-0.052857142857142866,0.035,0.05571428571428573
4,0.028333333333333325,0.03166666666666669,-0.004999999999999995,-0.028333333333333353,0.007500000000000009,0.003333333333333331
5,0.006999999999999999,0.006000000000000002,-0.05099999999999997,-0.038000000000000006,0.015000000000000008,-0.02000000000000002
6,-0.005,0.00625,0.0225,0.01625,-0.00375,-0.0025
7,-0.05333333333333334,0.04666666666666667,0.05499999999999996,0.020000000000000014,0.05833333333333333,0.02833333333333334
8,0.015,-0.0525,-0.005,-0.04,-0.0025,0.0275
9,-0.065,-0.035,-0.05,0.025,0.05,0.01
